Date,Open,High,Low,Close,Volume,Adj Close
2014-05-30,114.61,116.09,114.01,116.02,2622400,116.02
2014-05-29,114.58,115.19,113.51,114.14,2976700,114.14
2014-05-28,114.00,114.95,113.96,114.24,2388800,114.24
2014-05-27,115.00,115.22,113.62,113.87,2583900,113.87
2014-05-23,115.07,115.15,114.51,114.94,1100300,114.94
2014-05-22,114.53,115.00,114.40,114.73,1059900,114.73
2014-05-21,115.10,115.32,114.16,114.52,1712700,114.52
2014-05-20,115.79,116.11,114.98,115.13,2126900,115.13
2014-05-19,115.09,116.55,114.87,116.37,2212800,116.37
2014-05-16,114.58,115.82,114.36,115.61,2145300,115.61
2014-05-15,114.76,114.80,113.62,114.35,1883200,114.35
2014-05-14,115.73,116.10,114.86,115.13,1255300,115.13
2014-05-13,116.32,116.60,116.08,116.29,1229400,115.94
2014-05-12,115.78,116.91,115.58,116.51,1940500,116.15
2014-05-09,114.55,115.67,114.30,115.39,1954600,115.04
2014-05-08,113.08,114.82,112.97,114.73,2556900,114.38
2014-05-07,112.83,113.09,111.61,111.98,2950600,111.64
2014-05-06,114.28,114.49,112.77,112.83,1945300,112.49
2014-05-05,115.06,115.06,113.93,114.49,1398000,114.14
2014-05-02,116.14,116.14,115.06,115.15,1321100,114.80
2014-05-01,115.68,116.00,114.94,115.56,1168000,115.21
2014-04-30,115.04,115.76,114.76,115.68,1633800,115.33
2014-04-29,115.38,115.95,115.16,115.40,1580300,115.05
2014-04-28,115.10,116.61,115.10,115.59,3018800,115.24
2014-04-25,114.85,115.30,114.20,115.01,1721200,114.66
2014-04-24,114.90,115.31,114.14,115.03,1939300,114.68
2014-04-23,113.48,114.99,113.33,114.79,1991200,114.44
2014-04-22,114.00,114.23,113.51,113.56,2315100,113.21
2014-04-21,113.51,114.10,113.40,114.10,1826800,113.75
2014-04-17,113.52,114.03,113.12,113.50,1659000,113.15
2014-04-16,112.80,113.64,112.27,113.49,2455000,113.14
2014-04-15,112.58,112.96,111.45,112.06,2123700,111.72
2014-04-14,112.49,113.00,111.53,112.56,2519000,112.22
2014-04-11,111.44,112.78,111.40,112.08,3097800,111.74
2014-04-10,114.12,114.44,111.94,112.08,3305100,111.74
2014-04-09,112.72,113.14,112.11,113.05,2899600,112.70
2014-04-08,110.56,112.74,110.38,112.66,3863900,112.32
2014-04-07,110.73,111.13,110.36,110.79,3119400,110.45
2014-04-04,111.95,112.00,110.63,110.65,2716200,110.31
2014-04-03,111.74,112.15,111.28,111.70,2328900,111.36
2014-04-02,111.90,112.01,110.94,111.55,3296800,111.21
2014-04-01,112.21,112.55,111.51,111.86,2566200,111.52
2014-03-31,111.94,112.28,111.57,111.68,2119500,111.34
2014-03-28,112.35,112.79,111.15,111.66,2795500,111.32
2014-03-27,112.50,112.94,111.82,112.03,2039500,111.69
2014-03-26,114.28,114.47,112.46,112.49,1905900,112.15
2014-03-25,113.82,114.46,113.79,113.93,2199400,113.58
2014-03-24,113.99,114.00,112.89,113.37,2501700,113.02
2014-03-21,114.41,114.58,113.30,113.83,4442300,113.48
2014-03-20,112.56,113.22,112.13,113.16,1408200,112.81
2014-03-19,113.54,114.25,112.46,112.85,1635600,112.51
2014-03-18,113.90,114.12,113.02,113.85,2501000,113.50
2014-03-17,114.14,114.46,113.39,113.46,2189200,113.11
2014-03-14,114.95,114.95,113.33,113.45,2290000,113.10
2014-03-13,115.66,115.79,114.19,114.41,2519600,114.06
2014-03-12,114.39,115.62,114.25,115.21,2173400,114.86
2014-03-11,114.56,114.75,113.92,114.71,2201800,114.36
2014-03-10,113.21,114.59,113.00,114.59,2319100,114.24
2014-03-07,113.80,114.01,113.14,113.50,2905600,113.15
2014-03-06,113.15,114.64,112.27,113.26,8921900,112.91
2014-03-05,116.57,116.95,115.81,116.47,2305700,116.11
2014-03-04,116.61,116.91,115.85,116.65,1808300,116.29
2014-03-03,116.22,117.07,115.11,115.75,1667000,115.40
2014-02-28,116.50,117.47,115.89,116.80,2103000,116.44
2014-02-27,116.03,116.42,115.28,116.22,1374400,115.87
2014-02-26,115.50,116.83,115.37,115.88,1924500,115.53
2014-02-25,114.00,115.89,114.00,115.46,1920800,115.11
2014-02-24,113.46,114.81,113.20,113.94,2281900,113.59
2014-02-21,115.40,115.49,112.92,113.19,3654300,112.84
2014-02-20,114.57,115.55,113.88,115.06,1837100,114.71
2014-02-19,115.11,115.30,114.27,114.91,1802600,114.56
2014-02-18,116.30,116.41,114.92,115.36,2056500,115.01
2014-02-14,115.16,116.49,114.50,116.10,1517900,115.75
2014-02-13,114.14,115.93,114.14,115.81,1583300,115.46
2014-02-12,114.88,115.43,114.30,114.81,1737700,114.46
2014-02-11,113.91,115.15,113.50,114.99,1768900,114.33
2014-02-10,114.04,114.10,112.58,113.85,1871700,113.20
2014-02-07,114.08,114.61,113.38,114.04,2194100,113.39
2014-02-06,113.01,114.58,113.00,114.26,3738900,113.60
